subtype,n_pcs,severity,metric,spearman_r,p,N
Astrocyte,10,CPS,meanMoranI,0.2,0.704,6
Astrocyte,10,CPS,purity,0.6571428571428573,0.15617492711370237,6
Astrocyte,10,Braak,meanMoranI,-0.5768179036829705,0.23073225195460037,6
Astrocyte,10,Braak,purity,0.6375355777548621,0.1732603152985335,6
Astrocyte,10,Thal,meanMoranI,-0.49280538030458115,0.3206325828658273,6
Astrocyte,10,Thal,purity,0.6667366910003157,0.14808979944035275,6
Astrocyte,10,CERAD,meanMoranI,-0.5884898863364996,0.21916818111628925,6
Astrocyte,10,CERAD,purity,0.5590653920196746,0.24877100570170096,6
Astrocyte,10,ADNC,meanMoranI,-0.5976143046671969,0.21029538311834686,6
Astrocyte,10,ADNC,purity,0.4780914437337575,0.33750185654036463,6
Astrocyte,20,CPS,meanMoranI,0.48571428571428577,0.3287230320699709,6
Astrocyte,20,CPS,purity,0.7714285714285715,0.07239650145772594,6
Astrocyte,20,Braak,meanMoranI,-0.21251185925162072,0.6860308660088958,6
Astrocyte,20,Braak,purity,0.5768179036829705,0.23073225195460037,6
Astrocyte,20,Thal,meanMoranI,-0.11595420713048969,0.826848213385815,6
Astrocyte,20,Thal,purity,0.8116794499134279,0.04985758510134035,6
Astrocyte,20,CERAD,meanMoranI,-0.08827348295047495,0.8679336982351336,6
Astrocyte,20,CERAD,purity,0.44136741475237473,0.3809392104771887,6
Astrocyte,20,ADNC,meanMoranI,-0.11952286093343938,0.8215694433207941,6
Astrocyte,20,ADNC,purity,0.5976143046671969,0.21029538311834686,6
Astrocyte,50,CPS,meanMoranI,0.3142857142857143,0.5440932944606414,6
Astrocyte,50,CPS,purity,0.5428571428571429,0.26570262390670557,6
Astrocyte,50,Braak,meanMoranI,-0.21251185925162072,0.6860308660088958,6
Astrocyte,50,Braak,purity,0.5768179036829705,0.23073225195460037,6
Astrocyte,50,Thal,meanMoranI,-0.028988551782622423,0.9565293523898406,6
Astrocyte,50,Thal,purity,0.3478626213914691,0.4992532181146331,6
Astrocyte,50,CERAD,meanMoranI,-0.08827348295047495,0.8679336982351336,6
Astrocyte,50,CERAD,purity,0.3825184261187248,0.454207475113716,6
Astrocyte,50,ADNC,meanMoranI,0.0,1.0,6
Astrocyte,50,ADNC,purity,0.23904572186687875,0.648261294967307,6
L2/3 IT,10,CPS,meanMoranI,0.6666666666666667,0.04986723056888511,9
L2/3 IT,10,CPS,purity,-0.016666666666666666,0.9660548039946861,9
L2/3 IT,10,Braak,meanMoranI,0.05270462766947299,0.892879242924744,9
L2/3 IT,10,Braak,purity,-0.2547390337357861,0.5082998729901836,9
L2/3 IT,10,Thal,meanMoranI,0.7004780622328693,0.03558897100666565,9
L2/3 IT,10,Thal,purity,0.0421974736284861,0.9141634685812965,9
L2/3 IT,10,CERAD,meanMoranI,0.6671732309678801,0.04963018973972944,9
L2/3 IT,10,CERAD,purity,0.19928551054884727,0.6072160915122564,9
L2/3 IT,10,ADNC,meanMoranI,0.7378647873726218,0.02323723139995463,9
L2/3 IT,10,ADNC,purity,0.1932503014547343,0.6183608025346218,9
L2/3 IT,20,CPS,meanMoranI,0.6666666666666667,0.04986723056888511,9
L2/3 IT,20,CPS,purity,-0.13333333333333333,0.7323675052362975,9
L2/3 IT,20,Braak,meanMoranI,0.05270462766947299,0.892879242924744,9
L2/3 IT,20,Braak,purity,-0.2898754521821014,0.44927350413818345,9
L2/3 IT,20,Thal,meanMoranI,0.7004780622328693,0.03558897100666565,9
L2/3 IT,20,Thal,purity,-0.008439494725697222,0.9828082229567339,9
L2/3 IT,20,CERAD,meanMoranI,0.6671732309678801,0.04963018973972944,9
L2/3 IT,20,CERAD,purity,0.14729798605784364,0.7052996660285396,9
L2/3 IT,20,ADNC,meanMoranI,0.7378647873726218,0.02323723139995463,9
L2/3 IT,20,ADNC,purity,0.1405456737852613,0.7183539513737419,9
L2/3 IT,50,CPS,meanMoranI,0.7999999999999999,0.00962792472537983,9
L2/3 IT,50,CPS,purity,-0.13333333333333333,0.7323675052362975,9
L2/3 IT,50,Braak,meanMoranI,0.05270462766947299,0.892879242924744,9
L2/3 IT,50,Braak,purity,-0.2898754521821014,0.44927350413818345,9
L2/3 IT,50,Thal,meanMoranI,0.5992041255245026,0.08815510175914701,9
L2/3 IT,50,Thal,purity,-0.008439494725697222,0.9828082229567339,9
L2/3 IT,50,CERAD,meanMoranI,0.6411794687223782,0.06274081576078157,9
L2/3 IT,50,CERAD,purity,0.14729798605784364,0.7052996660285396,9
L2/3 IT,50,ADNC,meanMoranI,0.6324555320336758,0.06758329382336997,9
L2/3 IT,50,ADNC,purity,0.1405456737852613,0.7183539513737419,9
L4 IT,10,CPS,meanMoranI,0.6190476190476191,0.1017330374542646,8
L4 IT,10,CPS,purity,0.5714285714285715,0.1389599571607067,8
L4 IT,10,Braak,meanMoranI,0.44474958999666075,0.2695346480079903,8
L4 IT,10,Braak,purity,0.6547702297173061,0.07806940581071958,8
L4 IT,10,Thal,meanMoranI,0.1576018096148834,0.7093533525147797,8
L4 IT,10,Thal,purity,0.303080403105545,0.465565587468576,8
L4 IT,10,CERAD,meanMoranI,0.592999453328881,0.12128702247711222,8
L4 IT,10,CERAD,purity,0.5559369874958259,0.15248060078875422,8
L4 IT,10,ADNC,meanMoranI,0.36004114991154784,0.3809940672366918,8
L4 IT,10,ADNC,purity,0.41147559989891175,0.3111446791773791,8
L4 IT,20,CPS,meanMoranI,0.5476190476190477,0.1600256425388966,8
L4 IT,20,CPS,purity,0.5714285714285715,0.1389599571607067,8
L4 IT,20,Braak,meanMoranI,0.2964997266644405,0.4757860843342301,8
L4 IT,20,Braak,purity,0.6547702297173061,0.07806940581071958,8
L4 IT,20,Thal,meanMoranI,0.0848625128695526,0.841645075117969,8
L4 IT,20,Thal,purity,0.303080403105545,0.465565587468576,8
L4 IT,20,CERAD,meanMoranI,0.5312286769404558,0.1754747868122471,8
L4 IT,20,CERAD,purity,0.5559369874958259,0.15248060078875422,8
L4 IT,20,ADNC,meanMoranI,0.23145502494313785,0.5812719540380182,8
L4 IT,20,ADNC,purity,0.41147559989891175,0.3111446791773791,8
L4 IT,50,CPS,meanMoranI,0.4523809523809524,0.260404767436885,8
L4 IT,50,CPS,purity,0.5714285714285715,0.1389599571607067,8
L4 IT,50,Braak,meanMoranI,0.14824986333222026,0.726077451079171,8
L4 IT,50,Braak,purity,0.6547702297173061,0.07806940581071958,8
L4 IT,50,Thal,meanMoranI,-0.048492864496887195,0.9092183207331314,8
L4 IT,50,Thal,purity,0.303080403105545,0.465565587468576,8
L4 IT,50,CERAD,meanMoranI,0.4694579005520308,0.24054568939616214,8
L4 IT,50,CERAD,purity,0.5559369874958259,0.15248060078875422,8
L4 IT,50,ADNC,meanMoranI,0.1543033499620919,0.7152407778441923,8
L4 IT,50,ADNC,purity,0.41147559989891175,0.3111446791773791,8
Oligodendrocyte,10,CPS,meanMoranI,-0.49999999999999994,0.39100221895577053,5
Oligodendrocyte,10,CPS,purity,0.09999999999999999,0.8728885715695383,5
Oligodendrocyte,10,Braak,meanMoranI,0.10259783520851541,0.8695979205185651,5
Oligodendrocyte,10,Braak,purity,-0.10259783520851541,0.8695979205185651,5
Oligodendrocyte,10,Thal,meanMoranI,0.31622776601683794,0.604181303590592,5
Oligodendrocyte,10,Thal,purity,-0.6324555320336759,0.2522154963555042,5
Oligodendrocyte,10,CERAD,meanMoranI,-0.15811388300841897,0.7995251457913304,5
Oligodendrocyte,10,CERAD,purity,-0.15811388300841897,0.7995251457913304,5
Oligodendrocyte,10,ADNC,meanMoranI,0.31622776601683794,0.604181303590592,5
Oligodendrocyte,10,ADNC,purity,-0.5270462766947299,0.3614548502018728,5
Oligodendrocyte,20,CPS,meanMoranI,-0.39999999999999997,0.5046315754686911,5
Oligodendrocyte,20,CPS,purity,0.09999999999999999,0.8728885715695383,5
Oligodendrocyte,20,Braak,meanMoranI,0.20519567041703082,0.7405819415910722,5
Oligodendrocyte,20,Braak,purity,-0.10259783520851541,0.8695979205185651,5
Oligodendrocyte,20,Thal,meanMoranI,0.15811388300841897,0.7995251457913304,5
Oligodendrocyte,20,Thal,purity,-0.6324555320336759,0.2522154963555042,5
Oligodendrocyte,20,CERAD,meanMoranI,-0.31622776601683794,0.604181303590592,5
Oligodendrocyte,20,CERAD,purity,-0.15811388300841897,0.7995251457913304,5
Oligodendrocyte,20,ADNC,meanMoranI,0.15811388300841897,0.7995251457913304,5
Oligodendrocyte,20,ADNC,purity,-0.5270462766947299,0.3614548502018728,5
Oligodendrocyte,50,CPS,meanMoranI,0.0,1.0,5
Oligodendrocyte,50,CPS,purity,0.09999999999999999,0.8728885715695383,5
Oligodendrocyte,50,Braak,meanMoranI,0.15389675281277312,0.8048288166080632,5
Oligodendrocyte,50,Braak,purity,-0.10259783520851541,0.8695979205185651,5
Oligodendrocyte,50,Thal,meanMoranI,0.4743416490252569,0.41953112817892124,5
Oligodendrocyte,50,Thal,purity,-0.6324555320336759,0.2522154963555042,5
Oligodendrocyte,50,CERAD,meanMoranI,-0.3689323936863109,0.5411457083064428,5
Oligodendrocyte,50,CERAD,purity,-0.15811388300841897,0.7995251457913304,5
Oligodendrocyte,50,ADNC,meanMoranI,0.21081851067789192,0.7335793204938506,5
Oligodendrocyte,50,ADNC,purity,-0.5270462766947299,0.3614548502018728,5
