subtype,pc,pooled_I,spatial_rank,in_topk,spearman_r_vs_CPS,p,N,fdr_q
Astrocyte,1,0.2862659737761159,4,True,0.7714285714285715,0.07239650145772594,6,0.3619825072886297
Astrocyte,2,0.430465580748806,2,True,-0.08571428571428573,0.8717434402332361,6,0.8717434402332362
Astrocyte,3,0.5735127109647344,1,True,0.48571428571428577,0.3287230320699709,6,0.660835762876579
Astrocyte,4,0.3765432374042084,3,True,0.2,0.704,6,0.8717434402332362
Astrocyte,5,0.1899880880464191,5,True,-0.4285714285714286,0.3965014577259474,6,0.660835762876579
Astrocyte,6,0.0747578292716433,15,False,-0.3714285714285715,0.46847813411078715,6,
Astrocyte,7,0.1237640178569698,7,False,-0.4285714285714286,0.3965014577259474,6,
Astrocyte,8,0.028634458450594,19,False,0.942857142857143,0.004804664723032055,6,
Astrocyte,9,0.0916588196968351,11,False,-0.4285714285714286,0.3965014577259474,6,
Astrocyte,10,0.0733080886255834,16,False,0.6571428571428573,0.15617492711370237,6,
Astrocyte,11,0.0808179516090122,13,False,0.3142857142857143,0.5440932944606414,6,
Astrocyte,12,0.1142112673099352,9,False,0.6,0.20799999999999982,6,
Astrocyte,13,0.1000277830519599,10,False,0.08571428571428573,0.8717434402332361,6,
Astrocyte,14,0.0180891387668296,20,False,0.48571428571428577,0.3287230320699709,6,
Astrocyte,15,0.0767293249577688,14,False,0.6,0.20799999999999982,6,
Astrocyte,16,0.1348448783089126,6,False,0.5428571428571429,0.26570262390670557,6,
Astrocyte,17,0.0528716854104777,18,False,0.3714285714285715,0.46847813411078715,6,
Astrocyte,18,0.0897493453051372,12,False,0.3714285714285715,0.46847813411078715,6,
Astrocyte,19,0.0695304037820263,17,False,0.028571428571428574,0.9571545189504373,6,
Astrocyte,20,0.1164538305736757,8,False,0.7142857142857143,0.1107871720116617,6,
L2/3 IT,1,0.2408989851264545,6,False,0.45,0.22421610749233659,9,
L2/3 IT,2,0.3076685908621401,2,True,0.5166666666666667,0.1543901209862251,9,0.25731686831037515
L2/3 IT,3,0.2682794842414762,4,True,0.5666666666666667,0.11163298761149111,9,0.25731686831037515
L2/3 IT,4,0.5812410586947618,1,True,0.26666666666666666,0.4879222748387009,9,0.6099028435483761
L2/3 IT,5,0.1728252980869422,8,False,0.39999999999999997,0.2861051019083129,9,
L2/3 IT,6,0.3033081705353884,3,True,-0.09999999999999999,0.797971695234851,9,0.797971695234851
L2/3 IT,7,0.2608200154751021,5,True,0.5499999999999999,0.12497678418833198,9,0.25731686831037515
L2/3 IT,8,0.135657864796835,11,False,0.5333333333333333,0.13922686754397814,9,
L2/3 IT,9,0.2052974168660544,7,False,0.2333333333333333,0.5456987782182727,9,
L2/3 IT,10,0.1386451155078657,10,False,0.6833333333333333,0.04244227208707231,9,
L2/3 IT,11,0.164062692563539,9,False,0.11666666666666665,0.7650079429261462,9,
L2/3 IT,12,0.110974169270452,12,False,0.38333333333333336,0.30849527238037144,9,
L2/3 IT,13,0.0693125595052328,18,False,0.7666666666666667,0.01594401657897401,9,
L2/3 IT,14,0.0913516667796394,14,False,0.48333333333333334,0.18746985521554207,9,
L2/3 IT,15,0.1070749087046596,13,False,0.6,0.0876228290414024,9,
L2/3 IT,16,0.0883044220371156,15,False,0.35,0.35581957250178897,9,
L2/3 IT,17,0.0510315564808065,20,False,0.5166666666666667,0.1543901209862251,9,
L2/3 IT,18,0.0858022403452809,16,False,0.3666666666666667,0.33173980143301507,9,
L2/3 IT,19,0.0540933124121112,19,False,0.9166666666666666,0.0005066190663052084,9,
L2/3 IT,20,0.084861526485756,17,False,0.5166666666666667,0.1543901209862251,9,
L4 IT,1,0.373535943870407,3,True,0.14285714285714288,0.735764859879812,8,0.7788857260523797
L4 IT,2,0.1198321247636679,9,False,0.3333333333333334,0.4197530864197531,8,
L4 IT,3,0.1624636973576679,6,False,0.19047619047619052,0.6514014957024814,8,
L4 IT,4,0.6330502719671179,1,True,0.4761904761904762,0.23293553465009798,8,0.43400794572814166
L4 IT,5,0.5556341787767243,2,True,-0.4523809523809524,0.260404767436885,8,0.43400794572814166
L4 IT,6,0.1326510768807463,8,False,0.6904761904761906,0.057990318164572716,8,
L4 IT,7,0.2168002933201607,4,True,0.11904761904761905,0.7788857260523797,8,0.7788857260523797
L4 IT,8,0.2049609764628416,5,True,0.7142857142857144,0.04652823228416724,8,0.2326411614208362
L4 IT,9,0.1386347449174119,7,False,0.11904761904761905,0.7788857260523797,8,
L4 IT,10,0.0981327355818362,10,False,0.4523809523809524,0.260404767436885,8,
L4 IT,11,0.0692055568398388,13,False,0.09523809523809526,0.8225054302036114,8,
L4 IT,12,0.0467815845219857,17,False,0.28571428571428575,0.4927262450169573,8,
L4 IT,13,0.0559739145215647,14,False,-0.07142857142857144,0.8665262706759088,8,
L4 IT,14,0.069353914767668,12,False,0.4523809523809524,0.260404767436885,8,
L4 IT,15,0.050286748167734,15,False,-0.3333333333333334,0.4197530864197531,8,
L4 IT,16,0.0470750853697431,16,False,0.6190476190476191,0.1017330374542646,8,
L4 IT,17,0.045857148999206,19,False,0.04761904761904763,0.9108491685195836,8,
L4 IT,18,0.0883006692456668,11,False,0.14285714285714288,0.735764859879812,8,
L4 IT,19,0.0406878949935324,20,False,0.8095238095238096,0.014902667686230067,8,
L4 IT,20,0.0463728631560019,18,False,0.14285714285714288,0.735764859879812,8,
Oligodendrocyte,1,0.4234459497022725,2,True,-0.942857142857143,0.004804664723032055,6,0.024023323615160276
Oligodendrocyte,2,0.5524848680695389,1,True,-0.5428571428571429,0.26570262390670557,6,0.5478717201166181
Oligodendrocyte,3,0.1144051143900982,7,False,-0.8285714285714287,0.04156268221574334,6,
Oligodendrocyte,4,0.2314960938806476,3,True,-0.48571428571428577,0.3287230320699709,6,0.5478717201166181
Oligodendrocyte,5,0.1958899462277264,4,True,0.028571428571428574,0.9571545189504373,6,0.9571545189504373
Oligodendrocyte,6,0.1236844856957376,6,False,0.3142857142857143,0.5440932944606414,6,
Oligodendrocyte,7,0.1822517073271781,5,True,-0.14285714285714288,0.7871720116618075,6,0.9571545189504373
Oligodendrocyte,8,0.0346093690916556,16,False,0.3142857142857143,0.5440932944606414,6,
Oligodendrocyte,9,0.0847968144760447,9,False,-0.8285714285714287,0.04156268221574334,6,
Oligodendrocyte,10,0.0713745235551401,11,False,0.8857142857142858,0.01884548104956266,6,
Oligodendrocyte,11,0.082640457533951,10,False,0.2571428571428572,0.6227871720116618,6,
Oligodendrocyte,12,0.0389216157568237,15,False,-0.2571428571428572,0.6227871720116618,6,
Oligodendrocyte,13,0.0880289869705341,8,False,-0.14285714285714288,0.7871720116618075,6,
Oligodendrocyte,14,0.0709640401342272,12,False,-0.2,0.704,6,
Oligodendrocyte,15,0.0302744261431179,18,False,-0.3142857142857143,0.5440932944606414,6,
Oligodendrocyte,16,0.058835282436424,13,False,0.08571428571428573,0.8717434402332361,6,
Oligodendrocyte,17,0.0466269403368981,14,False,0.8857142857142858,0.01884548104956266,6,
Oligodendrocyte,18,0.029044647819242,19,False,-0.48571428571428577,0.3287230320699709,6,
Oligodendrocyte,19,0.0263628264782671,20,False,0.6,0.20799999999999982,6,
Oligodendrocyte,20,0.0342798100448087,17,False,0.7714285714285715,0.07239650145772594,6,
